DemandNumber,RRD_Market,DU_Lead,Demand_Owner,DEMAND_SUB_SEGMENTATION,Demand_Category,Demand_Alert,CRSD_Date,RHL_Y_Date,Capability,Dmd_Skill,Dmd_Level,Dmd_Location,Client_Interview_(Y/N)
R40622842,North America Market,matthew37@example.org,Monique Spencer,Ramp-up,Global-Captive,Open For Internal Fulfillment,10/3/2024 9:41,4/29/2024 2:34,Microsoft Platform,Microsoft 365 SharePoint Online Development,6,Noida,No
R40257069,Europe,davidyang@example.net,Michelle Gardner,Ramp-up,Global Clients,Client Interview - OR,12/22/2024 19:51,3/20/2024 19:17,Microsoft Business Apps,Microsoft SQL Server,7,Bengaluru,Yes
R40684399,North America Market,ybautista@example.org,Karen Kidd,Ramp-up,Captive,Open For Internal Fulfillment,1/8/2024 0:50,8/22/2024 12:03,Microsoft Business Apps,Microsoft Azure IaaS,8,Kolkata,Yes
R40437265,AA&ME,jeffreydiaz@example.net,Katrina Evans,Ramp-up,Global-Captive,Open For Internal Fulfillment,9/6/2024 6:11,9/18/2024 1:44,Microsoft Platform,ASP.NET MVC,7,Gurugram,Yes
R40806099,Europe,jessicabrewer@example.net,Debbie Smith,Attrition,Global Clients,Open For Internal Fulfillment,8/2/2024 20:39,4/28/2024 2:41,Microsoft Platform,Microsoft Dynamics 365 Operations Functional,9,Pune,Yes
R40676045,North America Market,sarahbird@example.com,Brian Galvan,Project Initiated,Global-Captive,Project - OR,9/28/2024 3:38,5/6/2024 22:51,Microsoft Business Apps,Microsoft SDET,8,Chennai,No
R40603756,Growth Markets,todd08@example.com,Nicole Lang MD,Employee Initiated,Global-Captive,Project - OR,9/21/2024 18:19,8/14/2024 18:09,Microsoft Platform,Microsoft SQL Server Integration Services SSIS,7,Pune,Yes
R40659154,AA&ME,jacob79@example.org,Ricardo Garrett,New Deal,Captive,Client Interview - OR,11/18/2024 13:40,5/26/2024 23:50,Microsoft Platform,Microsoft Dynamics CRM Technical,10,Noida,No
R40915694,AA&ME,michael15@example.net,Amanda Livingston,Ramp-up,Global Clients,Client Interview - OR,5/6/2024 21:05,4/22/2024 15:18,Microsoft Platform,Microsoft Dynamics 365 Finance Functional,8,Noida,No
R40265179,Growth Markets,kimchristina@example.net,Katie Berry,New Deal,Global-Captive,Open For Internal Fulfillment,5/8/2024 4:04,6/13/2024 7:24,Microsoft Business Apps,Microsoft Dynamics CRM Technical,6,Chennai,No
R40847570,Growth Markets,sarah15@example.com,Blake Parks MD,Ramp-up,Domestic Clients,Client Interview - OR,1/6/2024 7:27,11/29/2024 4:29,Microsoft Platform,Microsoft Azure Data Services,6,Ahmedabad,Yes
R40041367,AA&ME,barkerjuan@example.net,Brandon Smith,Employee Initiated,Global Clients,Client Interview - OR,9/16/2024 8:30,5/7/2024 21:01,Microsoft Platform,Microsoft Azure Data Services,7,Coimbatore,No
R40579707,Europe,fieldsgavin@example.com,Christopher Miller,Employee Initiated,Captive,Client Interview - OR,3/18/2024 19:48,9/15/2024 23:30,Microsoft Business Apps,Microsoft Power BI,8,Coimbatore,Yes
R40932835,North America Market,davidgreen@example.org,Dr. Michael Tucker,New Deal,Global-Captive,Client Interview - OR,8/27/2024 12:43,12/5/2024 9:11,Microsoft Platform,Microsoft Azure PaaS,7,Chennai,No
R40427084,AVANADE,sheilalee@example.net,Rita Figueroa,New Deal,Domestic Clients,Open For Internal Fulfillment,8/27/2024 18:57,6/10/2024 16:25,Microsoft Business Apps,Microsoft Dynamics CRM Functional,10,Jaipur,Yes
R40512832,Europe,zacharydaniels@example.com,Ariana Richardson,Attrition,Global Clients,Project - OR,9/7/2024 21:24,1/4/2024 7:56,Microsoft Business Apps,Microsoft SQL Server,5,Jaipur,No
R40632087,North America Market,lindavargas@example.com,Lawrence Zuniga,Ramp-up,Domestic Clients,Project - OR,7/25/2024 11:48,2/27/2024 11:18,Microsoft Business Apps,Microsoft Azure Analytics Services,5,Kolkata,Yes
R40271587,Growth Markets,mario78@example.org,Jennifer Washington,Ramp-up,Global-Captive,Open For Internal Fulfillment,5/17/2024 19:16,3/19/2024 22:31,Microsoft Platform,Microsoft Functional Testing,4,Noida,No
R40798895,North America Market,emilybrown@example.com,Joseph Gray,Project Initiated,Global-Captive,Open For Internal Fulfillment,3/15/2024 22:17,5/18/2024 21:04,Microsoft Platform,Microsoft ASP.NET,5,Noida,Yes
R40959331,North America Market,mdaniels@example.com,Robert Young,Project Initiated,Domestic Clients,Project - OR,12/23/2024 2:13,10/4/2024 13:45,Microsoft Business Apps,Microsoft Robotic Process Automation,9,Pune,No
R40942171,AVANADE,jenniferjackson@example.org,Jennifer Hamilton,Project Initiated,Domestic Clients,Client Interview - OR,7/13/2024 10:45,6/18/2024 3:48,Microsoft Business Apps,Microsoft Front End Development (FED) Angular,6,Kolkata,No
R40127149,Europe,damon73@example.com,Tiffany Mays,Project Initiated,Captive,Client Interview - OR,5/22/2024 21:00,6/6/2024 19:51,Microsoft Business Apps,Microsoft Azure Data Services,8,Noida,No
R40233685,North America Market,davidcosta@example.com,Troy Phelps,Ramp-up,Global Clients,Project - OR,2/1/2024 1:57,8/27/2024 6:40,Microsoft Platform,Microsoft Power Apps,4,Coimbatore,Yes
R40392483,Growth Markets,fitzgeraldrobert@example.net,Traci Brown,Employee Initiated,Captive,Project - OR,6/17/2024 2:22,1/12/2024 21:52,Microsoft Platform,Microsoft Robotic Process Automation Advanced,8,Hyderabad,Yes
R40007954,AA&ME,tina32@example.com,Rachel Davis,Add-up,Global-Captive,Open For Internal Fulfillment,12/7/2024 16:30,1/28/2024 1:53,Microsoft Platform,Microsoft Azure Analytics Services,6,Bengaluru,Yes
R40506269,Growth Markets,ygonzales@example.net,Sandra Parker,Attrition,Captive,Project - OR,1/30/2024 7:50,8/6/2024 19:22,Microsoft Platform,Microsoft ASP.NET,4,Jaipur,No
R40765220,Growth Markets,npayne@example.org,Henry Osborne,Add-up,Global-Captive,Project - OR,3/13/2024 20:28,6/20/2024 7:24,Microsoft Business Apps,Microsoft SQL Server Integration Services SSIS,6,Noida,No
R40099668,AA&ME,jane08@example.com,Nicholas Walsh,New Deal,Domestic Clients,Client Interview - OR,7/18/2024 8:58,10/2/2024 9:38,Microsoft Business Apps,Microsoft Azure Data Services,4,Chennai,Yes
R40857332,AA&ME,adamsdaniel@example.com,Holly Wilson,Add-up,Captive,Open For Internal Fulfillment,11/28/2024 7:25,2/7/2024 12:24,Microsoft Business Apps,Microsoft Power BI,7,Coimbatore,Yes
R40501528,AVANADE,dmartin@example.net,Joseph Greene,New Deal,Captive,Project - OR,4/24/2024 19:21,6/27/2024 22:38,Microsoft Business Apps,Microsoft SQL Server Integration Services SSIS,6,Kolkata,Yes
R40533650,AA&ME,hgould@example.net,Sabrina Holmes,Add-up,Global-Captive,Client Interview - OR,4/29/2024 6:56,5/17/2024 14:25,Microsoft Business Apps,Microsoft Dynamics 365 Finance Functional,9,Indore,No
R40387647,North America Market,michellewilliams@example.com,Sue Miles,New Deal,Domestic Clients,Client Interview - OR,11/27/2024 3:54,8/15/2024 15:12,Microsoft Business Apps,Microsoft Dynamics CRM Technical,9,Jaipur,No
R40301315,AVANADE,dianadunlap@example.com,David Randall,Ramp-up,Global-Captive,Open For Internal Fulfillment,7/31/2024 7:00,12/7/2024 3:22,Microsoft Business Apps,Microsoft Front End Development React Javascript (FED ReactJS),6,Noida,No
R40097316,Growth Markets,christopherthomas@example.com,Faith Pennington,New Deal,Global-Captive,Open For Internal Fulfillment,7/28/2024 18:47,1/4/2024 8:11,Microsoft Business Apps,Microsoft Azure IaaS,6,Indore,No
R40860843,North America Market,bmoreno@example.org,Mitchell Levine,Attrition,Global Clients,Project - OR,3/9/2024 16:27,12/8/2024 20:38,Microsoft Business Apps,Microsoft 365 SharePoint Online Development,9,Noida,Yes
R40628026,AA&ME,susanrandolph@example.net,Mark Morgan,Attrition,Domestic Clients,Client Interview - OR,5/21/2024 19:48,8/11/2024 14:32,Microsoft Platform,Microsoft Dynamics CRM Technical,8,Jaipur,No
R40793722,Growth Markets,gjohnson@example.org,Jon Martinez,Attrition,Captive,Open For Internal Fulfillment,1/18/2024 3:24,3/27/2024 3:47,Microsoft Business Apps,Microsoft Power BI,7,Indore,Yes
R40123053,Europe,williamsjoyce@example.org,Kendra Johnson,Employee Initiated,Domestic Clients,Client Interview - OR,4/15/2024 2:41,1/22/2024 17:13,Microsoft Business Apps,Microsoft Power BI,9,Pune,Yes
R40349364,Growth Markets,jennifer33@example.com,James Bailey,Add-up,Global Clients,Open For Internal Fulfillment,3/27/2024 7:45,10/21/2024 19:36,Microsoft Platform,Microsoft Robotic Process Automation Advanced,5,Kolkata,No
R40706852,Europe,ugiles@example.net,Linda Diaz,Project Initiated,Global-Captive,Client Interview - OR,1/30/2024 23:47,1/11/2024 14:05,Microsoft Business Apps,Microsoft Azure Analytics Services,5,Noida,No
R40328589,Growth Markets,deannablair@example.com,Joseph Rivera,Ramp-up,Global Clients,Project - OR,6/26/2024 2:11,3/23/2024 13:06,Microsoft Platform,Microsoft Azure Analytics Services,10,Coimbatore,No
R40930337,Europe,wrightzachary@example.net,Evan Simmons,Add-up,Domestic Clients,Project - OR,1/6/2024 18:36,5/11/2024 20:54,Microsoft Platform,Microsoft Azure IaaS,4,Coimbatore,Yes
R40664948,AA&ME,cynthia80@example.com,Morgan Bailey,Add-up,Domestic Clients,Open For Internal Fulfillment,5/29/2024 10:00,6/15/2024 7:52,Microsoft Business Apps,Microsoft Robotic Process Automation Advanced,5,Gurugram,Yes
R40421253,North America Market,richardscott@example.net,Marcus Rogers,Project Initiated,Domestic Clients,Open For Internal Fulfillment,3/17/2024 2:19,11/27/2024 11:30,Microsoft Platform,Microsoft SDET,9,Ahmedabad,No
R40211159,Europe,whitemicheal@example.org,Amanda Snyder,New Deal,Global-Captive,Open For Internal Fulfillment,12/13/2024 12:03,4/1/2024 11:38,Microsoft Platform,Microsoft Azure IaaS,4,Hyderabad,No
R40323494,AVANADE,patelronnie@example.com,Elizabeth Nguyen,New Deal,Captive,Open For Internal Fulfillment,12/28/2024 0:59,5/10/2024 23:45,Microsoft Business Apps,Microsoft Azure Data Services,5,Hyderabad,Yes
R40564054,AA&ME,elizabethsimmons@example.org,Stacy Sandoval,Attrition,Domestic Clients,Open For Internal Fulfillment,7/29/2024 7:56,11/30/2024 13:09,Microsoft Business Apps,Microsoft Front End Development React Javascript (FED ReactJS),6,Kolkata,No
R40128543,Europe,jasonthompson@example.com,Victoria Johnson,Ramp-up,Global Clients,Client Interview - OR,7/2/2024 2:55,12/2/2024 1:54,Microsoft Platform,Microsoft ASP.NET,4,Gurugram,No
R40360078,AA&ME,timothytravis@example.net,Gloria Klein,New Deal,Global-Captive,Open For Internal Fulfillment,2/11/2024 8:06,7/10/2024 20:18,Microsoft Business Apps,Microsoft Front End Development React Javascript (FED ReactJS),7,Jaipur,Yes
R40035481,North America Market,jonwatson@example.net,Erin Byrd,Add-up,Global Clients,Client Interview - OR,9/20/2024 10:33,6/20/2024 1:24,Microsoft Platform,Microsoft Azure PaaS,9,Pune,Yes
R40080489,Europe,atkinsondonald@example.net,Eric Miller,Add-up,Global-Captive,Project - OR,3/25/2024 19:38,4/23/2024 10:45,Microsoft Platform,Microsoft Dynamics CRM Functional,10,Noida,Yes
R40414905,North America Market,joshuadonovan@example.net,Kristen Robinson,Employee Initiated,Captive,Project - OR,7/30/2024 11:08,6/20/2024 1:47,Microsoft Business Apps,Microsoft Front End Development React Javascript (FED ReactJS),10,Pune,No
R40701013,North America Market,tharrison@example.org,Angela Poole,Add-up,Domestic Clients,Open For Internal Fulfillment,10/25/2024 1:01,5/8/2024 3:32,Microsoft Platform,Microsoft Front End Development React Javascript (FED ReactJS),6,Jaipur,Yes
R40231107,AVANADE,brian80@example.net,Roy Goodman,Ramp-up,Global-Captive,Project - OR,4/12/2024 16:35,4/14/2024 9:36,Microsoft Business Apps,Microsoft SDET,8,Coimbatore,No
R40606108,AA&ME,carrie53@example.com,Dawn Dennis,Project Initiated,Global Clients,Project - OR,4/21/2024 2:05,2/26/2024 0:24,Microsoft Platform,ASP.NET MVC,4,Noida,Yes
R40235787,AVANADE,tina89@example.com,Ashley Solis,Attrition,Global-Captive,Open For Internal Fulfillment,10/4/2024 5:35,8/26/2024 11:20,Microsoft Business Apps,Microsoft ASP.NET,8,Ahmedabad,No
R40375355,AVANADE,millerjennifer@example.net,Logan Morgan,Ramp-up,Captive,Project - OR,2/8/2024 0:14,9/1/2024 1:07,Microsoft Business Apps,Microsoft ASP.NET,4,Ahmedabad,Yes
R40036782,North America Market,bsanchez@example.net,Gary Yates,New Deal,Domestic Clients,Open For Internal Fulfillment,6/12/2024 1:49,5/13/2024 23:23,Microsoft Business Apps,Microsoft Robotic Process Automation,7,Pune,Yes
R40372971,AA&ME,elliottruth@example.org,Carolyn Lloyd,Ramp-up,Captive,Project - OR,3/4/2024 5:38,9/4/2024 5:36,Microsoft Business Apps,Microsoft Azure DevOps,5,Coimbatore,No
R40817017,North America Market,lindsay57@example.net,Bernard Webb,Employee Initiated,Captive,Client Interview - OR,8/21/2024 18:53,1/13/2024 18:10,Microsoft Business Apps,Microsoft Front End Development React Javascript (FED ReactJS),10,Coimbatore,Yes
R40219434,North America Market,charlesvargas@example.com,Timothy Owens,Attrition,Global Clients,Open For Internal Fulfillment,5/24/2024 1:03,2/9/2024 19:55,Microsoft Business Apps,Microsoft Azure DevOps,8,Coimbatore,Yes
R40102239,Growth Markets,andrew50@example.net,Mariah Phelps,Add-up,Global Clients,Project - OR,9/4/2024 9:39,1/22/2024 9:54,Microsoft Platform,Microsoft ASP.NET,4,Ahmedabad,Yes
R40825260,North America Market,kimberly86@example.com,Catherine Skinner,New Deal,Global Clients,Client Interview - OR,6/29/2024 18:06,9/2/2024 5:06,Microsoft Platform,ASP.NET MVC,7,Coimbatore,Yes
R40735491,North America Market,paulowen@example.com,Anna Quinn,Attrition,Global Clients,Project - OR,4/2/2024 23:11,7/17/2024 4:40,Microsoft Business Apps,Microsoft Power BI,6,Gurugram,Yes
R40921705,AA&ME,debrajenkins@example.com,Kathryn Reed DDS,New Deal,Domestic Clients,Open For Internal Fulfillment,2/24/2024 0:07,6/1/2024 14:43,Microsoft Business Apps,Microsoft Front End Development React Javascript (FED ReactJS),9,Bengaluru,Yes
R40531530,AVANADE,david20@example.org,Richard Riley,New Deal,Captive,Project - OR,12/22/2024 14:37,1/20/2024 12:44,Microsoft Business Apps,Microsoft Dynamics CRM Technical,4,Ahmedabad,No
R40670245,Growth Markets,aaronrodriguez@example.com,Robert Vaughn,Add-up,Domestic Clients,Project - OR,5/26/2024 7:25,12/26/2024 3:29,Microsoft Platform,Microsoft Dynamics 365 ERP Technical,8,Indore,No
R40722236,AA&ME,robertdavis@example.org,Caleb Palmer,Employee Initiated,Global Clients,Open For Internal Fulfillment,4/25/2024 6:02,2/4/2024 20:37,Microsoft Platform,Microsoft SQL Server Integration Services SSIS,8,Gurugram,No
R40972086,Growth Markets,hawkinslawrence@example.org,Nicholas West,New Deal,Domestic Clients,Project - OR,12/27/2024 7:03,6/26/2024 16:56,Microsoft Business Apps,Microsoft 365 SharePoint Online Development,10,Gurugram,Yes
R40072221,AA&ME,sandersshane@example.com,Jacqueline Wolf,Attrition,Domestic Clients,Client Interview - OR,12/30/2024 17:32,3/22/2024 2:07,Microsoft Business Apps,Microsoft Functional Testing,6,Noida,No
R40169526,AA&ME,frenchmichele@example.org,Frank Logan,Ramp-up,Global-Captive,Project - OR,11/29/2024 7:56,12/8/2024 16:05,Microsoft Business Apps,Microsoft Azure IaaS,4,Ahmedabad,No
R40972336,Europe,thomas99@example.net,Ashley Gonzales,Attrition,Global-Captive,Project - OR,1/2/2024 10:14,4/5/2024 4:15,Microsoft Business Apps,Microsoft Dynamics 365 ERP Technical,6,Chennai,No
R40629684,Europe,sarabowers@example.com,Tyler Humphrey,Attrition,Global Clients,Open For Internal Fulfillment,9/6/2024 16:45,4/24/2024 18:08,Microsoft Business Apps,Microsoft Azure IaaS,10,Coimbatore,No
R40610804,Growth Markets,egibbs@example.com,Jasmine Norris,Add-up,Global-Captive,Open For Internal Fulfillment,6/12/2024 21:09,9/5/2024 16:39,Microsoft Business Apps,Microsoft Power BI,7,Noida,Yes
R40175935,AA&ME,michael07@example.com,Kim Lewis,Ramp-up,Domestic Clients,Client Interview - OR,9/19/2024 12:33,12/23/2024 17:08,Microsoft Platform,Microsoft Front End Development React Javascript (FED ReactJS),6,Coimbatore,No
R40984781,AA&ME,williamwilliams@example.net,Joseph Murphy,Add-up,Global-Captive,Open For Internal Fulfillment,7/8/2024 6:04,5/10/2024 23:18,Microsoft Business Apps,Microsoft Dynamics CRM Technical,9,Mumbai,Yes
R40318710,AVANADE,itran@example.net,Pedro Humphrey,New Deal,Global Clients,Project - OR,5/11/2024 13:57,4/8/2024 6:38,Microsoft Business Apps,Microsoft Robotic Process Automation,7,Ahmedabad,No
R40170135,Europe,tbrown@example.com,Michael Miller,New Deal,Global-Captive,Client Interview - OR,2/24/2024 11:20,12/24/2024 5:24,Microsoft Business Apps,Microsoft Dynamics CRM Functional,5,Pune,Yes
R40005874,North America Market,jstokes@example.com,Denise Villegas,New Deal,Global Clients,Open For Internal Fulfillment,7/21/2024 8:49,3/26/2024 17:54,Microsoft Business Apps,Microsoft SQL Server,6,Mumbai,Yes
R40222551,Growth Markets,richard13@example.net,Daniel Mckinney,New Deal,Global Clients,Open For Internal Fulfillment,8/8/2024 23:40,3/16/2024 3:07,Microsoft Business Apps,Microsoft Power Apps,4,Jaipur,No
R40208259,Europe,bjones@example.org,Emily Moyer,Project Initiated,Global-Captive,Project - OR,2/19/2024 1:29,11/7/2024 14:47,Microsoft Platform,Microsoft Dynamics 365 ERP Technical,6,Bengaluru,No
R40548432,AVANADE,jeffrey81@example.net,Tina Olson,Add-up,Domestic Clients,Project - OR,11/6/2024 0:44,4/8/2024 14:06,Microsoft Business Apps,Microsoft Azure PaaS,10,Chennai,No
R40571187,AVANADE,patriciasmith@example.org,Michael Lewis,Attrition,Domestic Clients,Client Interview - OR,4/17/2024 5:43,4/3/2024 21:23,Microsoft Business Apps,Microsoft Front End Development React Javascript (FED ReactJS),6,Chennai,No
R40321265,AVANADE,smorris@example.com,James Yates,Project Initiated,Global Clients,Open For Internal Fulfillment,11/5/2024 7:53,7/21/2024 22:44,Microsoft Platform,Microsoft Azure Data Services,6,Kolkata,No
R40593206,AVANADE,sroberts@example.org,Lynn Maxwell,Attrition,Global Clients,Client Interview - OR,12/17/2024 17:43,8/9/2024 11:01,Microsoft Platform,Microsoft Front End Development (FED) Angular,10,Gurugram,No
R40739752,Growth Markets,holiver@example.net,Glenn Stephens,Add-up,Global Clients,Project - OR,11/16/2024 15:43,3/28/2024 21:32,Microsoft Business Apps,Microsoft Azure Analytics Services,8,Pune,No
R40332846,North America Market,jackson22@example.com,Holly Joyce,Attrition,Global-Captive,Open For Internal Fulfillment,7/3/2024 22:51,3/4/2024 12:21,Microsoft Business Apps,Microsoft Power Apps,4,Gurugram,Yes
R40389042,Growth Markets,hooversarah@example.net,Brenda Mathis,Ramp-up,Global Clients,Open For Internal Fulfillment,4/24/2024 19:01,8/18/2024 4:29,Microsoft Business Apps,Microsoft Azure IaaS,6,Bengaluru,Yes
R40450529,North America Market,nancy09@example.org,Justin Hall,Project Initiated,Domestic Clients,Client Interview - OR,6/4/2024 14:36,8/12/2024 19:03,Microsoft Platform,Microsoft Dynamics 365 ERP Technical,5,Indore,No
R40210635,Growth Markets,cthomas@example.org,Robert Leon,Ramp-up,Domestic Clients,Project - OR,3/25/2024 21:40,2/3/2024 4:47,Microsoft Platform,Microsoft Dynamics 365 ERP Technical,6,Noida,Yes
R40982191,AA&ME,carrmatthew@example.net,Jessica Coleman,Attrition,Global Clients,Client Interview - OR,6/9/2024 10:55,9/4/2024 5:52,Microsoft Business Apps,Microsoft Front End Development (FED) Angular,7,Mumbai,Yes
R40881464,AVANADE,barneskenneth@example.com,Robin Johnson,New Deal,Domestic Clients,Project - OR,2/17/2024 20:57,1/31/2024 17:39,Microsoft Business Apps,Microsoft Robotic Process Automation Advanced,10,Chennai,Yes
R40774457,Growth Markets,balldanny@example.net,Timothy Robinson,New Deal,Domestic Clients,Open For Internal Fulfillment,11/13/2024 20:53,3/9/2024 9:45,Microsoft Platform,Microsoft Power Apps,10,Noida,Yes
R40174830,North America Market,joseph55@example.com,David Conway,New Deal,Global-Captive,Project - OR,12/16/2024 2:18,4/20/2024 1:19,Microsoft Platform,ASP.NET MVC,6,Ahmedabad,Yes
R40573554,AVANADE,olsonbrooke@example.net,Michael Thompson,Add-up,Global-Captive,Project - OR,4/10/2024 18:36,11/17/2024 18:16,Microsoft Platform,Microsoft SDET,9,Kolkata,No
R40786693,Growth Markets,jameswillis@example.net,Benjamin Jimenez,Ramp-up,Domestic Clients,Project - OR,5/9/2024 6:28,5/9/2024 9:43,Microsoft Platform,Microsoft Azure Data Services,10,Jaipur,Yes
R40028987,Europe,hallstephanie@example.org,Scott Payne,Ramp-up,Global-Captive,Open For Internal Fulfillment,11/8/2024 2:37,9/18/2024 9:10,Microsoft Platform,Microsoft 365 SharePoint Online Development,8,Mumbai,Yes
R40173286,Growth Markets,bakerjohn@example.com,Emily Bradley DVM,Add-up,Captive,Client Interview - OR,1/29/2024 5:35,11/10/2024 2:52,Microsoft Platform,Microsoft Dynamics CRM Technical,8,Coimbatore,No
R40790927,Europe,dwayne46@example.org,Karen Smith,New Deal,Global Clients,Open For Internal Fulfillment,7/28/2024 9:20,2/15/2024 19:59,Microsoft Platform,Microsoft Dynamics 365 Operations Functional,6,Hyderabad,Yes
R40246276,Europe,mckayjay@example.net,Jeffrey Farmer,New Deal,Domestic Clients,Client Interview - OR,1/20/2024 8:08,5/26/2024 23:24,Microsoft Business Apps,Microsoft Dynamics CRM Functional,5,Mumbai,No
R40740931,Growth Markets,hoffmangary@example.org,Jay Obrien,Ramp-up,Global-Captive,Open For Internal Fulfillment,10/8/2024 10:50,12/12/2024 12:23,Microsoft Platform,Microsoft Dynamics 365 ERP Technical,6,Pune,Yes
R40608835,AA&ME,robert24@example.net,Ashley Todd,Add-up,Global Clients,Client Interview - OR,9/16/2024 17:49,10/7/2024 18:19,Microsoft Business Apps,Microsoft ASP.NET,4,Hyderabad,Yes
R40471611,Europe,bushjavier@example.net,James Valdez,Project Initiated,Global-Captive,Open For Internal Fulfillment,1/1/2024 0:37,8/5/2024 1:27,Microsoft Platform,Microsoft ASP.NET,6,Kolkata,Yes
R40148188,AVANADE,joshua39@example.com,Justin Zimmerman,Attrition,Captive,Client Interview - OR,1/10/2024 20:29,8/21/2024 9:35,Microsoft Business Apps,Microsoft Azure IaaS,4,Bengaluru,No
R40904079,Europe,haley06@example.org,Megan Cooke,Ramp-up,Global-Captive,Client Interview - OR,7/4/2024 11:46,7/6/2024 9:11,Microsoft Platform,Microsoft Front End Development React Javascript (FED ReactJS),7,Mumbai,Yes
R40456559,Europe,enichols@example.org,Jessica Burgess,Add-up,Captive,Project - OR,7/10/2024 11:25,10/12/2024 20:01,Microsoft Business Apps,Microsoft ASP.NET,8,Bengaluru,No
R40576722,Europe,christopher20@example.org,Zachary Armstrong,Add-up,Global-Captive,Client Interview - OR,9/5/2024 14:08,1/2/2024 6:30,Microsoft Business Apps,Microsoft SQL Server,7,Pune,Yes
